Contributor,mFactor,unit,Usage,kg CO2 e,Source:,url
Electricity,0.28307,kWh,12000,,BEIS 2018,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/715425/Conversion_Factors_2018_-_Condensed_set__for_most_users__v01-01.xls
Gas,0.185,kWh,10000,,,
Wood,190,tonnes,,,,
Oil,2.53,litres,,,,
Coal,2881.65,tonnes,,,,
"car, petrol < 1.4l",0.25,miles,10000,2500,,
"car, petrol > 1.4l",0.457,miles,10000,4570,,
"car, diesel < 1.7l",0.234,miles,10000,2340,,
"car, diesel > 1.7l",0.346,miles,10000,3460,,
elec (small),0.08,miles,10000,810,BEIS 2018,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/715425/Conversion_Factors_2018_-_Condensed_set__for_most_users__v01-01.xls
elec (medium),0.09,miles,10000,948,BEIS 2018,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/715425/Conversion_Factors_2018_-_Condensed_set__for_most_users__v01-01.xls
elec (large),0.12,miles,10000,1157,BEIS 2018,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/715425/Conversion_Factors_2018_-_Condensed_set__for_most_users__v01-01.xls
Bus,0.197,miles,10000,1970,,
Train,0.075,miles,10000,750,,
Air,0.255,miles,10000,2550,,
standard diet,2200,,,2200,,
"vegan, min processed, low waste",1100,,,,,
,,,,23256,,
